op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
CUTENSOR_OP_CONJ,cf64,kernel,[[262144]],0.026327,0.015404,1.7091
CUTENSOR_OP_CONJ,cf64,kernel,[[524288]],0.043962,0.026769,1.6422
CUTENSOR_OP_CONJ,cf64,kernel,[[1048576]],0.081673,0.048615,1.6800
CUTENSOR_OP_CONJ,cf64,kernel,[[2097152]],0.168000,0.080538,2.0860
CUTENSOR_OP_CONJ,cf64,kernel,[[4194304]],0.310654,0.142673,2.1774
CUTENSOR_OP_CONJ,cf64,kernel,[[8388608]],0.595231,0.266596,2.2327
CUTENSOR_OP_CONJ,cf64,kernel,"[[128,128]]",0.013115,0.005288,2.4800
CUTENSOR_OP_CONJ,cf64,kernel,"[[32,64,16]]",0.015481,0.006288,2.4618
CUTENSOR_OP_CONJ,cf64,kernel,"[[64,256]]",0.013115,0.005077,2.5833
CUTENSOR_OP_CONJ,cf64,kernel,"[[16,64,64]]",0.016269,0.007077,2.2989
CUTENSOR_OP_CONJ,cf64,kernel,"[[256,512]]",0.017962,0.009615,1.8680
CUTENSOR_OP_CONJ,cf64,kernel,"[[128,1024]]",0.017981,0.009750,1.8442
CUTENSOR_OP_CONJ,cf64,kernel,"[[64,64,64]]",0.026635,0.015269,1.7443
CUTENSOR_OP_CONJ,cf64,kernel,"[[128,128,64]]",0.082038,0.048423,1.6942
CUTENSOR_OP_CONJ,cf128,kernel,[[1024]],0.008058,0.004308,1.8705
CUTENSOR_OP_CONJ,cf128,kernel,[[2048]],0.010115,0.004577,2.2101
CUTENSOR_OP_CONJ,cf128,kernel,[[4096]],0.010769,0.005231,2.0588
CUTENSOR_OP_CONJ,cf128,kernel,[[8192]],0.011962,0.006769,1.7670
CUTENSOR_OP_CONJ,cf128,kernel,[[16384]],0.013538,0.007519,1.8005
CUTENSOR_OP_CONJ,cf128,kernel,[[32768]],0.016115,0.008558,1.8831
CUTENSOR_OP_CONJ,cf128,kernel,[[65536]],0.017154,0.010115,1.6958
CUTENSOR_OP_CONJ,cf128,kernel,[[131072]],0.021327,0.015827,1.3475
CUTENSOR_OP_CONJ,cf128,kernel,[[262144]],0.036327,0.027923,1.3010
